date,open,high,close,low,volume,amount,factor
2002-12-19,14.62,16.0,15.37,14.62,19580482.0,299624380.0,1.0
2002-12-20,15.32,15.41,15.4,15.06,5047530.0,76798858.0,1.0
2002-12-23,15.35,15.47,15.29,15.21,2721588.0,41652648.0,1.0
2002-12-24,15.21,15.25,15.16,14.93,2300085.0,34639214.0,1.0
2002-12-25,15.2,15.23,15.0,14.96,2091201.0,31464653.0,1.0
2002-12-26,14.93,14.93,14.43,14.42,2169653.0,31892602.0,1.0
2002-12-27,14.3,14.43,14.22,14.12,1431487.0,20412855.0,1.0
2002-12-30,14.0,14.25,14.11,13.86,1554367.0,21905605.0,1.0
2002-12-31,13.98,14.1,13.56,13.5,1883040.0,25921617.0,1.0
2003-01-02,13.51,13.55,13.23,13.06,886442.0,11747814.0,1.0
2003-01-03,13.19,13.37,13.31,13.16,630794.0,8361937.0,1.0
2003-01-06,13.21,13.36,13.32,12.93,815005.0,10686398.0,1.0
2003-01-07,13.2,13.65,13.27,13.14,878853.0,11744151.0,1.0
2003-01-08,13.23,13.78,13.7,13.16,901940.0,12174381.0,1.0
2003-01-09,13.69,14.4,14.16,13.56,2335905.0,32738336.0,1.0
2003-01-10,14.16,14.48,13.86,13.8,1540376.0,21804242.0,1.0
2003-01-13,13.8,14.08,13.93,13.79,573304.0,7981002.0,1.0
2003-01-14,13.88,14.99,14.66,13.7,1902813.0,27664666.0,1.0
2003-01-15,14.68,15.2,14.56,14.5,1927070.0,28662678.0,1.0
2003-01-16,14.55,15.33,15.16,14.53,2048736.0,30789696.0,1.0
2003-01-17,15.33,15.44,15.17,15.05,1591446.0,24230967.0,1.0
2003-01-20,15.17,15.3,15.16,14.9,666716.0,10071629.0,1.0
2003-01-21,15.2,15.28,14.82,14.79,935382.0,13959085.0,1.0
2003-01-22,14.8,15.0,14.88,14.7,572037.0,8512679.0,1.0
2003-01-23,14.85,15.3,15.13,14.77,1132783.0,17144029.0,1.0
2003-01-24,15.11,15.96,15.43,15.08,2477544.0,38395100.0,1.0
2003-01-27,15.45,15.69,15.54,15.39,811575.0,12620136.0,1.0
2003-01-28,15.52,15.88,15.78,15.43,1176366.0,18412481.0,1.0
2003-01-29,15.94,15.99,15.72,15.7,1118987.0,17731890.0,1.0
2003-02-10,15.72,15.75,15.39,15.3,524725.0,8109891.0,1.0
2003-02-11,15.4,15.65,15.6,15.34,309481.0,4792952.0,1.0
2003-02-12,15.58,15.66,15.63,15.46,236630.0,3679048.0,1.0
2003-02-13,15.6,15.78,15.7,15.52,377979.0,5906891.0,1.0
2003-02-14,15.65,15.65,15.59,15.51,445910.0,6947711.0,1.0
2003-02-17,15.58,15.58,15.2,15.11,642061.0,9821249.0,1.0
2003-02-18,15.2,15.29,15.18,15.13,310041.0,4705604.0,1.0
2003-02-19,15.2,15.41,15.39,15.15,195049.0,2977193.0,1.0
2003-02-20,15.4,15.55,15.41,15.29,512182.0,7916814.0,1.0
2003-02-21,15.38,15.87,15.58,15.37,1964041.0,30675515.0,1.0
2003-02-24,15.6,17.14,17.14,15.58,3823240.0,64297188.0,1.0
2003-02-25,17.34,17.45,16.87,16.74,5238017.0,89456156.0,1.0
2003-02-26,16.85,17.07,16.86,16.6,1811455.0,30435210.0,1.0
2003-02-27,16.85,17.1,16.65,16.63,1293485.0,21722654.0,1.0
2003-02-28,16.65,16.99,16.89,16.43,1796256.0,29953277.0,1.0
2003-03-03,16.84,17.38,17.03,16.7,1535973.0,26162161.0,1.0
2003-03-04,17.09,17.15,16.82,16.8,822153.0,13880179.0,1.0
2003-03-05,16.87,16.87,16.59,16.51,1286225.0,21357135.0,1.0
2003-03-06,16.6,16.6,16.28,16.15,1229217.0,20076230.0,1.0
2003-03-07,16.26,16.38,16.21,16.16,646577.0,10528313.0,1.0
