date,open,high,close,low,volume,amount,factor
2014-01-29,18.43,22.12,22.12,18.43,4039111.0,89105064.0,1.0
2014-01-30,20.5,20.5,19.91,19.91,2716500.0,54457068.0,1.0
2014-02-07,18.3,19.8,19.5,18.0,10142613.0,190779056.0,1.0
2014-02-10,19.24,21.45,21.45,19.15,12574168.0,258565184.0,1.0
2014-02-11,21.4,23.6,23.6,21.12,11688229.0,265678848.0,1.0
2014-02-12,24.0,25.96,25.96,24.0,9245325.0,232774864.0,1.0
2014-02-17,28.56,28.56,28.56,28.56,517546.0,14781114.0,1.0
2014-02-18,31.42,31.42,31.42,31.42,637999.0,20045928.0,1.0
2014-02-19,33.6,34.56,34.51,30.86,16032773.0,530021760.0,1.0
2014-02-20,33.6,36.97,34.53,31.6,12365211.0,423687168.0,1.0
2014-02-21,33.41,34.58,33.15,32.6,6804149.0,227791680.0,1.0
2014-02-24,33.55,33.66,33.65,31.88,5334464.0,175127072.0,1.0
2014-02-25,33.65,35.5,31.87,31.35,8649537.0,293100768.0,1.0
2014-02-26,30.38,31.3,30.94,29.28,5987750.0,181327424.0,1.0
2014-02-27,30.77,31.79,30.18,28.81,6477682.0,196873088.0,1.0
2014-02-28,29.98,33.2,33.2,29.25,10416839.0,338758272.0,1.0
2014-03-03,35.78,36.52,36.52,35.08,2346261.0,85005376.0,1.0
2014-03-04,39.88,39.88,34.5,34.13,14599646.0,541529280.0,1.0
2014-03-05,33.35,34.17,32.99,32.32,6958680.0,230997712.0,1.0
2014-03-06,32.28,36.02,35.02,31.7,7431385.0,250823024.0,1.0
2014-03-07,34.02,34.62,32.2,31.99,5361448.0,178040752.0,1.0
2014-03-10,31.4,33.2,31.8,30.62,3885967.0,124510808.0,1.0
2014-03-11,31.8,34.98,34.45,31.8,9150635.0,312802368.0,1.0
2014-03-12,32.77,33.37,32.85,31.01,7387288.0,239331520.0,1.0
2014-03-13,32.28,32.55,31.54,31.2,3538111.0,112290672.0,1.0
2014-03-14,31.22,32.48,31.1,30.8,2614787.0,82449840.0,1.0
2014-03-17,30.35,31.36,31.26,30.35,1932064.0,59919152.0,1.0
2014-03-18,31.01,32.4,31.12,31.01,3109026.0,98504496.0,1.0
2014-03-19,30.71,30.81,30.06,29.52,2955597.0,88935752.0,1.0
2014-03-20,30.01,30.34,29.18,29.18,2024138.0,60147756.0,1.0
2014-03-21,28.9,29.99,29.64,28.53,2067469.0,60623460.0,1.0
2014-03-24,29.5,30.16,28.14,28.08,2672181.0,78030568.0,1.0
2014-03-25,27.85,28.0,27.85,27.21,2177115.0,60176748.0,1.0
2014-03-26,27.89,28.32,27.76,27.59,1335411.0,37316392.0,1.0
2014-03-27,27.76,27.88,25.68,25.51,2441063.0,64990240.0,1.0
2014-03-28,25.68,28.25,27.2,24.51,4926152.0,131718696.0,1.0
2014-03-31,26.3,26.65,25.1,24.67,2944570.0,75561432.0,1.0
2014-04-01,24.88,26.49,25.98,24.85,2334832.0,60598064.0,1.0
2014-04-02,25.77,28.35,27.95,25.38,4367330.0,116850848.0,1.0
2014-04-03,27.5,29.5,28.06,27.01,6075476.0,172757440.0,1.0
2014-04-04,27.5,28.15,27.53,27.16,2834518.0,77998304.0,1.0
2014-04-08,27.11,28.99,28.6,26.85,4106322.0,116116968.0,1.0
2014-04-09,28.3,29.83,28.93,27.86,4703236.0,134991984.0,1.0
2014-04-10,28.61,29.44,28.27,27.99,3548058.0,102121136.0,1.0
2014-04-11,27.83,27.99,27.0,27.0,2513696.0,68997904.0,1.0
2014-04-14,27.08,27.46,27.11,26.82,1368122.0,37114204.0,1.0
2014-04-15,27.1,27.22,26.68,26.52,1119305.0,29995722.0,1.0
2014-04-16,26.55,26.94,26.23,26.1,1131816.0,29859152.0,1.0
2014-04-17,26.19,26.9,26.49,26.12,1114523.0,29612360.0,1.0
2014-04-18,26.32,26.97,26.87,26.28,918903.0,24589140.0,1.0
2014-04-21,26.88,29.5,28.42,26.64,5206320.0,149040432.0,1.0
2014-04-22,27.85,28.57,28.33,27.4,3149976.0,88103424.0,1.0
2014-04-23,28.23,29.16,28.74,27.76,3628453.0,104276504.0,1.0
2014-04-24,28.6,28.8,27.21,27.18,2784660.0,77397496.0,1.0
2014-04-25,26.88,28.19,27.23,26.58,2554684.0,70190528.0,1.0
2014-04-28,26.49,26.76,24.51,24.51,2777708.0,70199008.0,1.0
2014-04-29,24.45,26.06,25.77,24.3,2147591.0,54671848.0,1.0
2014-04-30,25.69,26.2,25.91,25.35,1972044.0,51005404.0,1.0
2014-05-05,25.8,27.34,26.98,25.56,2488102.0,66133756.0,1.0
2014-05-06,26.78,28.26,28.05,26.6,3477265.0,96477168.0,1.0
2014-05-07,27.8,30.83,29.35,27.63,6103708.0,177404352.0,1.0
2014-05-08,28.79,29.81,28.46,28.2,3915836.0,113343216.0,1.0
2014-05-09,28.4,30.6,29.2,28.26,5446582.0,161601456.0,1.0
2014-05-12,29.5,30.49,29.91,29.22,3972235.0,118566984.0,1.0
2014-05-13,29.5,29.5,28.37,28.17,3413327.0,98018696.0,1.0
2014-05-14,28.14,31.21,31.21,28.02,4914816.0,147494784.0,1.0
2014-05-15,31.6,32.99,31.31,31.0,8909112.0,284002240.0,1.0
2014-05-16,30.709,31.165,30.02,29.544,4420376.0,131961328.0,1.014
2014-05-19,29.706,30.567,30.131,28.753,3651529.0,107681504.0,1.014
2014-05-20,30.182,32.027,30.202,30.131,4714913.0,144260480.0,1.014
2014-05-21,29.685,30.101,29.908,29.148,2599408.0,76067896.0,1.014
2014-05-22,30.01,31.226,29.635,29.594,3728205.0,111967432.0,1.014
2014-05-23,29.29,30.071,30.071,28.996,2645146.0,77321232.0,1.014
2014-05-26,30.01,31.074,30.861,29.919,3304798.0,99764320.0,1.014
2014-05-27,31.003,31.469,30.608,30.436,2703363.0,82402432.0,1.014
2014-05-28,30.506,31.185,30.76,30.456,2446296.0,74267808.0,1.014
2014-05-29,30.892,32.189,31.52,30.679,5643157.0,174831520.0,1.014
2014-05-30,31.5,31.5,30.233,29.696,3804290.0,113966552.0,1.014
2014-06-03,30.02,30.304,29.544,29.412,1792033.0,52555944.0,1.014
2014-06-04,29.645,29.919,29.635,29.24,1379562.0,40223932.0,1.014
2014-06-05,29.594,29.615,29.513,29.027,1555077.0,44958800.0,1.014
2014-06-06,29.584,29.665,29.26,29.088,1262673.0,36613200.0,1.014
2014-06-09,29.26,29.655,29.311,28.986,1433179.0,41517268.0,1.014
2014-06-10,29.432,30.182,30.101,29.148,2055515.0,60621708.0,1.014
2014-06-11,29.949,30.02,29.29,29.158,1963494.0,57123064.0,1.014
2014-06-12,29.088,29.452,28.844,28.733,1477113.0,42395336.0,1.014
2014-06-13,28.834,29.544,29.371,28.834,1594791.0,46058908.0,1.014
2014-06-16,29.31,30.263,29.919,29.31,2446666.0,72047872.0,1.014
2014-06-17,29.817,29.868,29.027,28.986,1678424.0,48451148.0,1.014
2014-06-18,29.148,29.29,28.814,28.763,1297334.0,37050072.0,1.014
2014-06-19,28.814,28.875,26.797,26.523,2299768.0,62061360.0,1.014
2014-06-20,26.858,27.365,27.142,26.858,961320.0,25739948.0,1.014
2014-06-23,27.77,29.088,28.652,27.669,2998254.0,84508928.0,1.014
2014-06-24,28.844,29.29,28.905,28.581,1922550.0,54814436.0,1.014
2014-06-25,28.925,31.702,31.104,28.824,6171646.0,186567472.0,1.014
2014-06-26,30.81,33.8,32.787,30.81,8196854.0,262361952.0,1.014
2014-06-27,33.131,33.131,32.229,31.925,4789420.0,152980640.0,1.014
2014-06-30,32.239,32.432,31.55,31.114,3938000.0,122959224.0,1.014
2014-07-01,31.712,31.956,31.875,31.084,3290177.0,102537176.0,1.014
2014-07-02,31.773,31.773,31.185,30.669,2752190.0,84496808.0,1.014
2014-07-03,31.013,31.469,31.246,30.891,1899484.0,58488460.0,1.013
2014-07-04,31.419,33.202,31.621,31.419,2976549.0,93783728.0,1.014
2014-07-07,31.743,31.753,31.044,30.709,1800931.0,55115872.0,1.013
2014-07-08,30.831,31.52,31.104,30.527,1922980.0,59020188.0,1.013
2014-07-09,31.064,31.196,30.152,30.152,1824752.0,55107788.0,1.014
2014-07-10,30.202,30.973,30.354,30.202,1488447.0,44967752.0,1.014
2014-07-11,30.354,30.912,30.658,30.354,1079779.0,32658914.0,1.014
2014-07-14,30.567,31.419,31.398,30.425,2023374.0,62124132.0,1.014
2014-07-15,31.5,31.5,30.506,30.192,1809566.0,54846148.0,1.014
2014-07-16,30.486,30.567,29.554,29.29,1398536.0,41243472.0,1.014
2014-07-17,29.554,29.838,29.827,29.189,782065.0,22792062.0,1.014
2014-07-18,29.817,29.919,29.29,29.24,831634.0,24280784.0,1.014
2014-07-21,29.381,29.392,28.662,28.439,921359.0,26109138.0,1.014
2014-07-22,28.662,29.148,29.118,28.479,699638.0,20017112.0,1.014
2014-07-23,29.098,29.239,28.662,28.378,827811.0,23461696.0,1.014
2014-07-24,28.662,29.209,28.854,28.074,1185207.0,33658392.0,1.014
2014-07-25,28.733,29.29,28.946,28.56,856629.0,24489122.0,1.014
2014-07-28,29.189,30.101,29.888,29.037,1318114.0,38687876.0,1.014
2014-07-29,29.969,30.192,29.838,29.513,1107131.0,32572446.0,1.014
2014-07-30,29.746,29.746,29.604,29.219,1207088.0,35099976.0,1.014
2014-07-31,29.564,29.736,29.716,29.24,958764.0,27928620.0,1.014
2014-08-01,29.706,29.716,28.733,28.5,1404088.0,40371948.0,1.014
2014-08-04,29.493,29.746,29.473,29.199,1245006.0,36204172.0,1.014
2014-08-05,29.189,29.665,29.594,28.986,1080296.0,31368386.0,1.014
2014-08-06,29.544,29.604,29.604,29.321,889226.0,25896010.0,1.014
2014-08-07,29.594,29.817,29.27,29.229,1140259.0,33240324.0,1.014
2014-08-08,29.189,29.726,29.635,29.158,1081706.0,31492632.0,1.014
2014-08-11,29.675,30.638,30.496,29.675,2358249.0,70584712.0,1.014
2014-08-12,30.506,30.517,30.273,30.101,1270107.0,37861648.0,1.014
2014-08-13,30.111,30.699,30.273,29.898,1351318.0,40356324.0,1.014
2014-08-14,30.273,30.344,29.645,29.615,1007862.0,29855466.0,1.014
2014-08-15,29.645,30.01,29.848,29.574,924154.0,27172178.0,1.014
2014-08-18,29.848,30.375,30.354,29.706,1218846.0,36269380.0,1.014
2014-08-19,30.385,30.577,30.405,30.121,1392572.0,41681640.0,1.014
2014-08-20,30.405,31.145,30.993,30.182,2194044.0,66736924.0,1.014
2014-08-21,30.993,31.003,30.608,30.324,1482203.0,44747784.0,1.014
2014-08-22,30.567,30.587,30.446,30.101,1663469.0,49805844.0,1.014
2014-08-25,30.415,30.577,30.081,30.0,1240482.0,36937736.0,1.014
2014-08-26,30.081,30.253,29.159,29.057,1144506.0,33446274.0,1.014
2014-08-27,29.199,29.533,29.27,29.199,726982.0,21049792.0,1.014
2014-08-28,29.118,29.341,28.905,28.642,1089055.0,30981308.0,1.014
2014-08-29,28.885,29.209,29.169,28.783,665344.0,19050124.0,1.014
2014-09-01,29.169,29.523,29.493,29.108,787865.0,22847776.0,1.014
2014-09-02,29.625,29.979,29.969,29.533,1272033.0,37340372.0,1.014
2014-09-03,30.05,30.669,30.233,30.03,1478001.0,44175344.0,1.014
2014-09-04,30.233,30.638,30.537,30.03,1776561.0,53334704.0,1.014
2014-09-05,30.527,30.75,30.314,30.101,1466520.0,43826708.0,1.014
2014-09-09,30.202,30.598,30.456,30.162,1017508.0,30503002.0,1.014
2014-09-10,30.425,30.841,30.8,30.121,1956240.0,59048788.0,1.014
2014-09-11,30.811,31.216,30.577,30.304,2381782.0,72438144.0,1.014
2014-09-12,30.577,31.307,31.216,30.314,2605957.0,79661816.0,1.014
2014-09-15,31.216,31.702,31.135,31.013,2218128.0,68506512.0,1.014
2014-09-16,31.023,32.24,30.78,30.314,3471444.0,106317528.0,1.014
2014-09-17,30.425,31.925,31.824,30.213,4054383.0,125303544.0,1.014
2014-09-18,31.672,31.712,31.398,31.216,2001655.0,62072804.0,1.014
2014-09-19,31.388,31.662,31.115,30.79,1618885.0,49659888.0,1.014
2014-09-22,31.064,31.064,30.659,30.608,1049192.0,31856078.0,1.014
2014-09-23,30.689,31.074,30.861,30.628,850759.0,25932064.0,1.014
2014-09-24,30.851,30.983,30.973,30.658,1373714.0,41849228.0,1.014
2014-09-25,31.104,31.378,30.871,30.76,1663188.0,51056352.0,1.014
2014-09-26,30.78,31.297,30.973,30.608,1168084.0,35755320.0,1.014
2014-09-29,31.084,32.402,32.381,31.084,3914415.0,123402376.0,1.014
2014-09-30,32.311,33.142,33.142,32.027,4173607.0,134581472.0,1.014
2014-10-08,33.344,33.74,33.486,32.767,5021735.0,165062624.0,1.014
2014-10-09,33.486,33.506,33.395,32.919,4284061.0,140559616.0,1.014
2014-10-10,33.304,35.351,34.713,33.152,5220258.0,178229344.0,1.014
2014-10-13,35.189,36.081,35.756,34.946,4228755.0,148394512.0,1.014
