date,open,high,close,low,volume,amount,factor
1997-10-21,14.1,16.18,15.94,13.5,26589200.0,380282333.0,1.0
1997-10-22,15.56,17.53,17.53,15.5,18630800.0,309311849.0,1.0
1997-10-23,17.03,17.75,16.88,16.0,11188700.0,189168721.0,1.0
1997-10-24,16.8,16.84,15.97,15.8,7724800.0,125035428.0,1.0
1997-10-27,15.88,16.85,16.0,15.71,5175700.0,84033762.0,1.0
1997-10-28,16.0,17.6,17.02,15.75,7364100.0,123504860.0,1.0
1997-10-29,17.1,17.78,17.61,16.88,7908200.0,137434891.0,1.0
1997-10-30,17.8,18.25,16.66,16.6,7006300.0,122934267.0,1.0
1997-10-31,16.2,16.65,16.4,15.82,3309700.0,53686473.0,1.0
1997-11-03,16.12,16.4,16.04,15.9,1426400.0,22965479.0,1.0
1997-11-04,16.08,16.94,16.4,16.0,1485000.0,24392184.0,1.0
1997-11-05,16.5,16.62,16.29,16.05,1576900.0,25660761.0,1.0
1997-11-06,16.3,16.9,16.26,16.18,1684500.0,27889786.0,1.0
1997-11-07,16.36,16.83,16.46,16.25,1215900.0,20054387.0,1.0
1997-11-10,16.69,16.69,15.89,15.8,1912800.0,30770374.0,1.0
1997-11-11,15.75,15.96,15.3,15.1,1870700.0,28746690.0,1.0
1997-11-12,15.3,15.55,14.84,14.79,1434600.0,21736725.0,1.0
1997-11-13,14.75,15.58,15.55,14.51,1432400.0,21456032.0,1.0
1997-11-14,15.5,15.65,15.05,14.55,1191000.0,18072667.0,1.0
1997-11-17,15.05,15.3,14.72,14.6,1129400.0,16657910.0,1.0
1997-11-18,14.58,14.84,14.4,14.3,1052100.0,15331968.0,1.0
1997-11-19,14.3,14.78,14.43,14.25,619900.0,8973873.0,1.0
1997-11-20,14.5,14.52,14.16,14.0,580300.0,8292765.0,1.0
1997-11-21,14.1,14.3,13.81,13.8,859700.0,12038851.0,1.0
1997-11-24,13.81,13.98,13.43,13.4,690500.0,9368446.0,1.0
1997-11-25,13.25,13.58,13.29,12.98,877500.0,11586907.0,1.0
1997-11-26,13.38,14.2,14.03,13.34,1590400.0,22176036.0,1.0
1997-11-27,13.7,13.95,13.3,13.26,602700.0,8182262.0,1.0
1997-11-28,13.16,14.0,13.99,13.01,879100.0,12043393.0,1.0
1997-12-01,14.02,14.7,14.43,13.9,1498500.0,21549236.0,1.0
1997-12-02,14.4,14.55,14.06,14.01,542700.0,7729047.0,1.0
1997-12-03,14.1,14.2,13.9,13.8,309200.0,4312959.0,1.0
1997-12-04,13.9,14.32,14.17,13.6,688700.0,9696620.0,1.0
1997-12-05,14.21,14.5,13.97,13.92,672000.0,9567219.0,1.0
1997-12-08,13.94,14.33,14.04,13.9,345200.0,4857600.0,1.0
1997-12-09,14.06,14.4,14.33,14.06,472500.0,6745775.0,1.0
1997-12-10,14.4,14.55,14.26,14.15,499600.0,7157781.0,1.0
1997-12-11,14.25,14.27,14.05,13.78,528200.0,7380262.0,1.0
1997-12-12,14.1,14.15,14.02,13.83,487700.0,6792258.0,1.0
1997-12-15,13.92,14.28,14.28,13.8,548600.0,7627217.0,1.0
1997-12-16,14.37,14.75,14.68,14.08,1019900.0,14722082.0,1.0
1997-12-17,14.44,14.44,14.03,14.0,704400.0,9983956.0,1.0
1997-12-18,13.98,14.18,14.04,13.88,298600.0,4181254.0,1.0
1997-12-19,13.93,14.1,14.03,13.85,348500.0,4852879.0,1.0
1997-12-22,13.9,14.35,14.11,13.6,854700.0,11870979.0,1.0
1997-12-23,13.96,15.2,14.92,13.95,2200300.0,32381779.0,1.0
1997-12-24,14.88,15.2,14.71,14.64,1393200.0,20793471.0,1.0
1997-12-25,14.88,15.45,15.4,14.5,1535300.0,23235964.0,1.0
1997-12-26,15.48,15.65,15.25,15.18,1081000.0,16577066.0,1.0
1997-12-29,15.38,15.5,14.88,14.85,986000.0,14827921.0,1.0
1997-12-30,14.85,15.1,14.68,14.63,567900.0,8392384.0,1.0
1997-12-31,14.68,15.0,14.81,14.6,411800.0,6114124.0,1.0
1998-01-05,14.9,15.48,15.27,14.9,1066800.0,16248058.0,1.0
1998-01-06,15.5,15.51,15.5,15.06,1203800.0,18430746.0,1.0
1998-01-07,15.48,15.7,15.44,15.19,821800.0,12650430.0,1.0
1998-01-08,15.5,15.7,15.2,15.2,992400.0,15266073.0,1.0
1998-01-09,15.2,15.2,14.93,14.71,881600.0,13134736.0,1.0
1998-01-12,14.8,15.4,14.86,14.75,974800.0,14699016.0,1.0
1998-01-13,14.6,14.66,14.1,13.37,1389300.0,19272751.0,1.0
1998-01-14,14.0,14.4,14.14,13.93,1062400.0,15039607.0,1.0
1998-01-15,14.3,14.35,14.21,14.0,760700.0,10770731.0,1.0
1998-01-16,14.25,14.25,13.99,13.97,571600.0,8050109.0,1.0
1998-01-19,13.98,14.0,13.86,13.68,651300.0,8997824.0,1.0
1998-01-20,14.0,14.3,14.08,13.91,348200.0,4902342.0,1.0
1998-01-21,14.15,14.25,13.95,13.9,310600.0,4360657.0,1.0
1998-01-22,13.98,14.05,13.9,13.78,366300.0,5101926.0,1.0
1998-01-23,14.0,14.3,14.23,13.8,350600.0,4984206.0,1.0
1998-02-09,14.6,15.05,14.6,14.5,574200.0,8451235.0,1.0
1998-02-10,14.5,14.62,14.3,14.26,367300.0,5271590.0,1.0
1998-02-11,14.2,14.48,14.39,14.13,267500.0,3832657.0,1.0
1998-02-12,14.25,14.48,14.17,14.0,343600.0,4900529.0,1.0
1998-02-13,14.12,14.3,14.28,14.1,291200.0,4127307.0,1.0
1998-02-16,14.18,14.28,14.18,14.0,399700.0,5644000.0,1.0
1998-02-17,14.08,14.29,14.24,14.08,223400.0,3172157.0,1.0
1998-02-18,14.28,14.75,14.68,14.28,1230100.0,17830105.0,1.0
1998-02-19,14.8,15.1,14.76,14.55,1206300.0,17924079.0,1.0
1998-02-20,14.76,14.8,14.37,14.32,388200.0,5612975.0,1.0
1998-02-23,14.3,14.3,14.09,14.0,503600.0,7102052.0,1.0
1998-02-24,14.05,14.38,14.25,14.05,305600.0,4331266.0,1.0
1998-02-25,14.2,14.35,13.97,13.9,299200.0,4228186.0,1.0
1998-02-26,13.98,14.18,14.13,13.8,246300.0,3443651.0,1.0
1998-02-27,14.2,14.2,13.78,13.75,388600.0,5398860.0,1.0
