date,open,high,close,low,volume,amount,factor
2008-02-18,33.8,39.0,39.0,33.8,19056295.0,674808578.0,1.0
2008-02-19,37.05,37.6,36.2,35.1,12409777.0,449849136.0,1.0
2008-02-20,35.8,37.98,37.0,35.56,8021810.0,295946888.0,1.0
2008-02-21,36.48,37.0,36.36,35.2,4084056.0,147864592.0,1.0
2008-02-22,36.47,38.78,37.45,36.1,6377877.0,239057731.0,1.0
2008-02-25,38.1,40.7,39.9,37.5,6519101.0,254769442.0,1.0
2008-02-26,40.0,40.0,36.4,35.91,5322744.0,199581673.0,1.0
2008-02-27,36.95,37.99,37.97,36.63,3399780.0,126899413.0,1.0
2008-02-28,37.5,37.68,36.72,36.03,2283617.0,83801694.0,1.0
2008-02-29,36.7,36.9,36.75,35.5,2673082.0,96259940.0,1.0
2008-03-03,35.98,37.88,37.16,35.5,2006217.0,74323719.0,1.0
2008-03-04,37.34,39.0,37.92,37.0,3114649.0,118582496.0,1.0
2008-03-05,38.28,38.78,36.38,35.52,2316056.0,85467413.0,1.0
2008-03-06,36.7,36.7,34.84,34.58,2098550.0,74026501.0,1.0
2008-03-07,34.7,35.37,34.72,34.44,998915.0,34893402.0,1.0
2008-03-10,34.44,34.45,31.25,31.25,1965251.0,63299518.0,1.0
2008-03-11,30.85,30.98,30.79,28.88,1400320.0,42127737.0,1.0
2008-03-12,31.38,31.5,28.77,28.44,1200935.0,35951223.0,1.0
2008-03-13,28.49,30.23,29.55,28.03,1268947.0,37234146.0,1.0
2008-03-14,29.27,29.8,28.92,28.56,581793.0,17000126.0,1.0
2008-03-17,28.92,29.29,26.21,26.03,1136569.0,30669998.0,1.0
2008-03-18,25.8,26.76,26.31,24.0,1860412.0,47045934.0,1.0
2008-03-20,27.18,28.94,28.94,26.3,2285519.0,62696552.0,1.0
2008-03-21,29.2,31.2,29.4,28.96,2818748.0,84535123.0,1.0
2008-03-24,29.4,31.18,30.98,28.11,2258290.0,67826503.0,1.0
2008-03-25,30.0,31.5,30.2,29.29,1681563.0,51615704.0,1.0
2008-03-26,30.3,30.78,29.01,28.88,885560.0,26304723.0,1.0
2008-03-27,28.5,29.85,28.1,28.1,794384.0,22941921.0,1.0
2008-03-28,27.8,28.99,28.8,26.31,1111268.0,30786576.0,1.0
2008-03-31,27.9,28.4,26.39,26.3,660481.0,17840187.0,1.0
2008-04-01,25.9,26.38,23.78,23.75,939811.0,23197676.0,1.0
2008-04-02,23.85,24.75,23.6,22.7,1035071.0,24310899.0,1.0
2008-04-03,23.48,24.58,24.52,23.01,506340.0,12212273.0,1.0
2008-04-07,24.37,25.9,25.85,23.5,838986.0,21174607.0,1.0
2008-04-08,25.6,26.4,26.3,25.45,785440.0,20463658.0,1.0
2008-04-09,26.3,26.69,24.5,24.5,793195.0,20429224.0,1.0
2008-04-10,23.79,24.9,24.78,23.5,508355.0,12319963.0,1.0
2008-04-11,24.7,25.8,25.25,24.5,629934.0,15893875.0,1.0
2008-04-14,24.55,25.36,24.1,24.09,712172.0,17461400.0,1.0
2008-04-15,23.71,24.89,24.85,23.71,410261.0,9983138.0,1.0
2008-04-16,24.88,25.94,24.74,24.61,408973.0,10350192.0,1.0
2008-04-17,24.95,25.11,23.88,23.8,377223.0,9175381.0,1.0
2008-04-18,23.61,24.0,22.2,22.08,640399.0,14594197.0,1.0
