date,open,high,close,low,volume,amount,factor
2011-07-07,21.9,26.28,20.59,20.51,29237976.0,670017728.0,1.0
2011-07-08,18.53,21.44,19.64,18.53,14964673.0,296745632.0,1.0
2011-07-11,19.1,19.58,19.0,18.67,7994763.0,152017248.0,1.0
2011-07-12,18.7,20.05,19.78,18.5,8717263.0,167915632.0,1.0
2011-07-13,19.6,20.06,19.84,19.29,7290938.0,143404208.0,1.0
2011-07-14,19.8,20.58,20.41,19.45,9540930.0,191248336.0,1.0
2011-07-15,20.14,20.64,20.13,19.95,6883971.0,139874336.0,1.0
2011-07-18,20.15,20.3,19.9,19.48,5393725.0,106661400.0,1.0
2011-07-19,19.79,19.99,19.9,19.19,4868362.0,95071528.0,1.0
2011-07-20,19.7,20.99,20.72,19.58,10257136.0,209494976.0,1.0
2011-07-21,20.42,20.61,20.08,20.05,4825975.0,98038200.0,1.0
2011-07-22,20.14,20.44,19.91,19.85,3703510.0,74617744.0,1.0
2011-07-25,19.61,19.8,18.58,18.51,4262122.0,81007432.0,1.0
2011-07-26,18.59,18.9,18.85,18.01,2653171.0,49172984.0,1.0
2011-07-27,18.68,19.29,19.0,18.37,3014185.0,57207212.0,1.0
2011-07-28,18.8,18.84,18.51,18.46,2542078.0,47413308.0,1.0
2011-07-29,18.58,19.66,18.96,18.57,4600628.0,88005192.0,1.0
2011-08-01,18.92,20.86,20.86,18.9,9412909.0,191829984.0,1.0
2011-08-02,21.35,22.86,22.47,21.3,17825292.0,393367872.0,1.0
2011-08-03,22.45,22.47,21.99,21.66,8998579.0,198476048.0,1.0
2011-08-04,21.78,22.4,22.35,21.15,9489054.0,205609056.0,1.0
2011-08-05,21.4,22.28,21.06,20.9,7425391.0,160553824.0,1.0
2011-08-08,20.6,20.6,18.95,18.95,6591728.0,127318480.0,1.0
2011-08-09,17.7,20.0,18.69,17.06,7597264.0,136618848.0,1.0
2011-08-10,19.02,19.4,18.62,18.54,5565473.0,105728256.0,1.0
2011-08-11,17.9,19.13,19.1,17.52,5099278.0,94578912.0,1.0
2011-08-12,19.21,19.88,19.14,19.1,4961422.0,96202736.0,1.0
2011-08-15,19.05,19.6,19.52,18.89,4209345.0,81526520.0,1.0
2011-08-16,19.52,20.5,20.2,19.19,7677714.0,153438928.0,1.0
2011-08-17,20.0,20.19,19.71,19.61,4036538.0,80155048.0,1.0
2011-08-18,19.55,19.97,18.71,18.03,4485268.0,85581656.0,1.0
2011-08-19,18.2,18.37,18.2,17.9,2784087.0,50565084.0,1.0
2011-08-22,18.36,18.66,18.32,18.18,2113990.0,38926784.0,1.0
2011-08-23,18.4,19.95,19.9,18.38,5668232.0,109222128.0,1.0
2011-08-24,19.9,20.33,19.52,19.4,6358381.0,125641344.0,1.0
2011-08-25,19.51,19.92,19.87,19.31,4207834.0,82514568.0,1.0
2011-08-26,19.8,20.79,20.33,19.66,7228544.0,147456560.0,1.0
2011-08-29,20.1,20.35,19.75,19.75,3958898.0,79219024.0,1.0
