date,open,high,close,low,volume,amount,factor
2006-10-16,3.27,4.05,3.63,3.12,564328305.0,1911183176.0,1.0
2006-10-17,3.42,3.58,3.45,3.38,204867260.0,709838907.0,1.0
2006-10-18,3.45,3.52,3.48,3.34,128224665.0,438920905.0,1.0
2006-10-19,3.48,3.75,3.71,3.45,197547132.0,712953037.0,1.0
2006-10-20,3.68,3.75,3.69,3.61,104423093.0,383694233.0,1.0
2006-10-23,3.68,3.7,3.54,3.51,88112888.0,317048976.0,1.0
2006-10-24,3.57,3.68,3.65,3.53,85000674.0,307684635.0,1.0
2006-10-25,3.64,3.79,3.73,3.61,104573386.0,387777980.0,1.0
2006-10-26,3.7,3.83,3.75,3.66,93785864.0,353015599.0,1.0
2006-10-27,3.76,3.78,3.67,3.63,61754502.0,227718141.0,1.0
2006-10-30,3.7,3.72,3.63,3.56,52678192.0,190619724.0,1.0
2006-10-31,3.64,3.76,3.76,3.61,67270651.0,247441089.0,1.0
2006-11-01,3.73,3.84,3.78,3.72,78536720.0,297577339.0,1.0
2006-11-02,3.78,3.78,3.7,3.66,55146035.0,204311773.0,1.0
2006-11-03,3.73,3.81,3.73,3.69,54428543.0,204346238.0,1.0
2006-11-06,3.67,3.73,3.69,3.65,50927025.0,187811441.0,1.0
2006-11-07,3.69,3.83,3.82,3.58,90849887.0,334662932.0,1.0
2006-11-08,3.8,3.86,3.77,3.76,89745823.0,342162835.0,1.0
2006-11-09,3.78,4.15,4.15,3.76,201080156.0,809988217.0,1.0
2006-11-10,4.16,4.34,4.28,4.08,192795557.0,805306425.0,1.0
2006-11-13,4.21,4.43,4.34,4.17,137811185.0,595234681.0,1.0
2006-11-14,4.3,4.39,4.33,4.2,82283209.0,352616240.0,1.0
2006-11-15,4.3,4.74,4.63,4.27,121006210.0,542955951.0,1.0
2006-11-16,4.61,4.79,4.63,4.56,149099008.0,699592694.0,1.0
2006-11-17,4.61,4.77,4.75,4.57,81879266.0,384621067.0,1.0
2006-11-20,4.77,5.23,5.21,4.74,131140272.0,655626769.0,1.0
2006-11-21,5.22,5.73,5.73,5.1,157882700.0,862872022.0,1.0
2006-11-22,5.8,6.15,5.81,5.71,174140014.0,1031693551.0,1.0
2006-11-23,5.75,5.94,5.83,5.56,131409656.0,755262298.0,1.0
2006-11-24,5.8,6.09,5.92,5.71,114204474.0,674768359.0,1.0
2006-11-27,5.84,5.98,5.9,5.64,91721969.0,531510309.0,1.0
2006-11-28,5.87,6.09,5.96,5.82,79156204.0,471894425.0,1.0
2006-11-29,5.79,5.95,5.81,5.72,68720276.0,402344104.0,1.0
2006-11-30,5.83,6.39,6.39,5.79,128565667.0,785743006.0,1.0
2006-12-01,6.52,7.0,6.76,6.43,151123950.0,1019444150.0,1.0
2006-12-04,6.71,7.38,7.36,6.64,102181002.0,720464545.0,1.0
2006-12-05,7.42,8.1,8.1,7.42,108748536.0,858494080.0,1.0
2006-12-06,8.1,8.91,8.91,7.64,174449210.0,1450719225.0,1.0
2006-12-07,8.85,9.17,8.02,8.02,165197990.0,1424898336.0,1.0
2006-12-08,7.22,7.22,7.22,7.22,27560900.0,198989698.0,1.0
2006-12-11,6.5,7.7,7.19,6.5,209818085.0,1429134835.0,1.0
2006-12-12,6.47,6.93,6.48,6.47,164974893.0,1090543261.0,1.0
2006-12-13,6.43,6.73,6.64,6.43,87923663.0,580846124.0,1.0
2006-12-14,6.65,6.67,6.44,6.25,89722668.0,576465064.0,1.0
2006-12-15,6.41,6.68,6.48,6.25,86714206.0,561947844.0,1.0
2006-12-18,6.5,7.13,7.13,6.45,154010909.0,1054230380.0,1.0
2006-12-19,7.19,7.77,7.59,7.12,156797484.0,1157779109.0,1.0
2006-12-20,7.4,7.55,7.41,7.2,71242609.0,527265766.0,1.0
2006-12-21,7.38,7.52,7.14,7.02,57160402.0,419460921.0,1.0
2006-12-22,7.03,7.14,6.77,6.5,75952146.0,515213856.0,1.0
2006-12-25,6.68,7.19,6.9,6.63,62238090.0,431554786.0,1.0
2006-12-26,6.89,6.94,6.69,6.63,43255821.0,291969260.0,1.0
2006-12-27,6.65,6.85,6.8,6.56,37780179.0,254728173.0,1.0
2006-12-28,6.8,6.9,6.53,6.41,60676994.0,401748683.0,1.0
2006-12-29,6.5,6.95,6.68,6.46,57403792.0,386719251.0,1.0
2007-01-04,6.8,7.0,6.75,6.68,79553361.0,545785293.0,1.0
2007-01-05,6.62,6.78,6.68,6.52,47527887.0,314550529.0,1.0
2007-01-08,6.62,7.35,7.24,6.56,85678158.0,597348246.0,1.0
2007-01-09,7.24,7.45,7.3,7.01,82540615.0,603588586.0,1.0
2007-01-10,7.33,8.0,7.86,7.24,97003916.0,740266218.0,1.0
2007-01-11,7.85,7.99,7.56,7.55,83044743.0,641347451.0,1.0
2007-01-12,7.4,7.62,6.89,6.8,70033675.0,504711456.0,1.0
2007-01-15,6.86,7.18,7.12,6.79,53281769.0,374763090.0,1.0
2007-01-16,6.9,7.7,7.59,6.8,170676044.0,1234938642.0,1.0
2007-01-17,7.49,7.56,7.01,6.9,145875620.0,1047244190.0,1.0
2007-01-18,6.81,6.96,6.81,6.5,114933915.0,767598196.0,1.0
2007-01-19,6.88,7.14,7.11,6.81,73516251.0,510764869.0,1.0
2007-01-22,7.44,7.72,7.59,7.23,150459991.0,1118842773.0,1.0
2007-01-23,7.6,7.64,7.41,7.2,95345248.0,703421478.0,1.0
2007-01-24,7.49,7.98,7.79,7.36,143832345.0,1108800530.0,1.0
2007-01-25,7.71,8.25,7.87,7.51,166822750.0,1326294068.0,1.0
2007-01-26,7.71,7.92,7.65,7.16,99942115.0,755373048.0,1.0
2007-01-29,7.66,7.8,7.72,7.49,81710794.0,624951062.0,1.0
2007-01-30,7.73,7.76,7.35,7.31,83668819.0,624596266.0,1.0
2007-01-31,7.28,7.31,6.85,6.8,77444931.0,546323657.0,1.0
2007-02-01,6.85,7.15,7.06,6.85,56077426.0,394790835.0,1.0
2007-02-02,7.06,7.06,6.67,6.62,41326052.0,282269582.0,1.0
2007-02-05,6.65,6.85,6.72,6.6,27927743.0,187753347.0,1.0
2007-02-06,6.75,6.99,6.97,6.74,26580144.0,182888895.0,1.0
2007-02-07,7.06,7.14,6.94,6.84,37850703.0,265098612.0,1.0
