date,open,high,close,low,volume,amount,factor
1998-07-01,8.88,9.0,7.69,7.65,42667100.0,344568855.0,1.0
1998-07-02,7.49,7.84,7.5,7.21,14805200.0,110588349.0,1.0
1998-07-03,7.5,7.53,7.19,7.09,10079700.0,73484509.0,1.0
1998-07-06,7.2,7.3,7.0,6.97,4913500.0,34972207.0,1.0
1998-07-07,7.0,7.24,7.17,6.95,2667700.0,18995615.0,1.0
1998-07-08,7.2,7.23,7.1,7.06,1878100.0,13384500.0,1.0
1998-07-09,7.11,7.43,7.33,7.11,3487700.0,25512279.0,1.0
1998-07-10,7.33,7.47,7.35,7.25,2603800.0,19181839.0,1.0
1998-07-13,7.36,7.37,7.22,7.17,2340000.0,16930051.0,1.0
1998-07-14,7.2,7.21,7.08,7.05,2376900.0,16917180.0,1.0
1998-07-15,7.06,7.21,7.11,6.99,1361400.0,9662752.0,1.0
1998-07-16,7.1,7.31,7.29,7.08,2185000.0,15780938.0,1.0
1998-07-17,7.29,7.29,7.02,7.02,1305800.0,9334232.0,1.0
1998-07-20,7.0,7.18,7.08,7.0,1694900.0,11979867.0,1.0
1998-07-21,7.1,7.28,7.24,7.04,1915500.0,13773047.0,1.0
1998-07-22,7.25,7.38,7.26,7.18,1774100.0,12935830.0,1.0
1998-07-23,7.25,7.61,7.57,7.24,5286300.0,39492189.0,1.0
1998-07-24,7.58,7.65,7.46,7.46,3733900.0,28205802.0,1.0
1998-07-27,7.48,7.77,7.62,7.48,4052100.0,30977274.0,1.0
1998-07-28,7.65,7.75,7.62,7.55,1648700.0,12563310.0,1.0
1998-07-29,7.6,7.6,7.47,7.42,1836900.0,13756041.0,1.0
1998-07-30,7.45,7.54,7.49,7.4,1574300.0,11767103.0,1.0
1998-07-31,7.5,7.74,7.68,7.48,2832600.0,21621800.0,1.0
1998-08-03,7.75,7.76,7.53,7.5,1893500.0,14501775.0,1.0
1998-08-04,7.57,7.74,7.65,7.5,2780600.0,21222290.0,1.0
1998-08-05,7.65,7.73,7.73,7.6,1786300.0,13725518.0,1.0
1998-08-06,7.73,7.76,7.54,7.52,1646200.0,12553035.0,1.0
1998-08-07,7.5,7.5,7.29,7.27,2896800.0,21324862.0,1.0
1998-08-10,7.25,7.25,7.1,7.0,1822300.0,12936028.0,1.0
1998-08-11,7.1,7.2,7.08,7.06,823200.0,5858433.0,1.0
1998-08-12,7.02,7.08,6.72,6.5,1936000.0,13140461.0,1.0
1998-08-13,6.75,6.83,6.82,6.7,1102000.0,7464048.0,1.0
1998-08-14,6.78,6.78,6.5,6.5,1401800.0,9222190.0,1.0
1998-08-17,6.25,6.3,5.85,5.85,1901700.0,11378729.0,1.0
1998-08-18,5.79,6.11,5.85,5.58,1376700.0,8080588.0,1.0
1998-08-19,5.88,6.27,6.25,5.88,1423300.0,8664980.0,1.0
1998-08-20,6.26,6.4,6.4,6.11,1754500.0,10988659.0,1.0
1998-08-21,6.4,6.58,6.53,6.2,1868900.0,11945171.0,1.0
1998-08-24,6.47,6.65,6.44,6.36,1499800.0,9747839.0,1.0
1998-08-25,6.5,6.54,6.41,6.25,1227100.0,7840173.0,1.0
1998-08-26,6.38,6.39,6.16,6.16,1537600.0,9597666.0,1.0
1998-08-27,6.1,6.19,6.1,6.02,860800.0,5225042.0,1.0
1998-08-28,6.1,6.16,6.05,6.02,746300.0,4528639.0,1.0
1998-08-31,6.02,6.23,6.21,5.76,1165000.0,6882575.0,1.0
1998-09-01,6.18,6.38,6.2,6.03,1233700.0,7667076.0,1.0
1998-09-02,6.18,6.23,6.1,6.08,702700.0,4305347.0,1.0
1998-09-03,6.08,6.23,6.16,6.08,628800.0,3875956.0,1.0
1998-09-04,6.18,6.35,6.27,6.18,929300.0,5828190.0,1.0
1998-09-07,6.29,6.32,6.28,6.18,737400.0,4606808.0,1.0
1998-09-08,6.31,6.36,6.19,6.18,1120600.0,7037479.0,1.0
1998-09-09,6.18,6.28,6.27,6.12,1111500.0,6866592.0,1.0
1998-09-10,6.3,6.44,6.38,6.27,2109100.0,13436729.0,1.0
1998-09-11,6.4,6.42,6.33,6.29,1293300.0,8187469.0,1.0
1998-09-14,6.32,6.62,6.58,6.21,2554200.0,16333767.0,1.0
1998-09-15,6.6,6.64,6.43,6.4,1979800.0,12890245.0,1.0
1998-09-16,6.39,6.6,6.56,6.37,1717700.0,11149190.0,1.0
1998-09-17,6.6,6.6,6.3,6.25,1702600.0,10936292.0,1.0
1998-09-18,6.26,6.3,6.16,6.1,1188400.0,7389294.0,1.0
1998-09-21,6.12,6.2,6.2,6.0,1010800.0,6167618.0,1.0
1998-09-22,6.2,6.24,6.12,6.07,788400.0,4853319.0,1.0
1998-09-23,6.13,6.24,6.18,6.1,531600.0,3284351.0,1.0
1998-09-24,6.16,6.2,6.01,6.0,1214800.0,7350497.0,1.0
1998-09-25,6.0,6.14,6.11,5.96,567400.0,3427981.0,1.0
1998-09-28,6.11,6.44,6.3,6.08,1527100.0,9632511.0,1.0
1998-09-29,6.3,6.41,6.25,6.18,900600.0,5676264.0,1.0
1998-09-30,6.23,6.32,6.25,6.2,423000.0,2649310.0,1.0
1998-10-05,6.26,6.28,6.16,6.1,496500.0,3068272.0,1.0
1998-10-06,6.16,6.2,6.08,6.07,596200.0,3640892.0,1.0
1998-10-07,6.03,6.1,6.06,6.03,592700.0,3587905.0,1.0
1998-10-08,6.05,6.11,6.1,6.05,455000.0,2763250.0,1.0
1998-10-09,6.14,6.28,6.19,6.1,718500.0,4453334.0,1.0
