date,open,high,close,low,volume,amount,factor
2012-05-25,11.2,11.58,11.22,10.7,40769340.0,454319680.0,1.0
2012-05-28,10.8,10.85,10.42,10.1,20904152.0,215566320.0,1.0
2012-05-29,10.15,11.19,11.05,10.13,22955392.0,248589232.0,1.0
2012-05-30,10.91,10.99,10.75,10.58,11646809.0,125726464.0,1.0
2012-05-31,10.55,10.89,10.61,10.52,9755835.0,104316096.0,1.0
2012-06-01,10.55,11.14,10.85,10.42,14168180.0,153971824.0,1.0
2012-06-04,10.51,10.71,10.37,10.3,8120275.0,85141768.0,1.0
2012-06-05,10.46,10.51,10.07,9.9,7898706.0,80298088.0,1.0
2012-06-06,10.06,10.16,9.98,9.9,5006461.0,50094968.0,1.0
2012-06-07,10.08,10.14,9.82,9.81,4461938.0,44458136.0,1.0
2012-06-08,9.94,9.95,9.75,9.69,4295333.0,42117352.0,1.0
2012-06-11,9.8,10.05,9.96,9.72,3979636.0,39351020.0,1.0
2012-06-12,9.86,9.96,9.87,9.7,3584972.0,35156936.0,1.0
2012-06-13,9.84,10.03,10.01,9.7,5356999.0,53016960.0,1.0
2012-06-14,9.93,10.25,9.96,9.87,6150204.0,61998304.0,1.0
2012-06-15,10.05,10.06,9.92,9.85,4029733.0,40029144.0,1.0
2012-06-18,10.0,10.23,10.1,9.92,4755264.0,48022236.0,1.0
2012-06-19,10.03,10.12,9.91,9.88,3692934.0,36872208.0,1.0
2012-06-20,9.96,10.08,10.01,9.83,3670813.0,36574652.0,1.0
2012-06-21,9.97,9.98,9.8,9.74,3253881.0,31994602.0,1.0
2012-06-25,9.72,9.79,9.45,9.4,2884657.0,27752434.0,1.0
2012-06-26,9.31,9.48,9.37,9.24,2618504.0,24483294.0,1.0
2012-06-27,9.38,9.79,9.49,9.35,3840690.0,36797180.0,1.0
2012-06-28,9.46,9.56,9.3,9.3,2867224.0,27038998.0,1.0
2012-06-29,9.25,9.43,9.41,9.15,2177446.0,20272918.0,1.0
2012-07-02,9.43,9.6,9.55,9.4,2677603.0,25440858.0,1.0
2012-07-03,9.49,9.92,9.79,9.48,6486065.0,63044048.0,1.0
2012-07-05,9.6,9.62,9.35,9.32,3441912.0,32430752.0,1.0
2012-07-06,9.4,9.5,9.46,9.14,3160485.0,29527690.0,1.0
2012-07-09,9.36,9.37,9.04,9.04,2683138.0,24722668.0,1.0
2012-07-10,9.0,9.0,8.84,8.8,2685127.0,23805926.0,1.0
2012-07-11,8.85,8.91,8.86,8.78,1561522.0,13820593.0,1.0
2012-07-12,8.88,9.03,8.96,8.68,2660368.0,23569186.0,1.0
